1.56,-12.43
1.53,-12.06
1.45,-12.41
1.23,-12.10
1.31,-12.46
1.56,-12.79
1.57,-13.18
1.53,-13.60
1.72,-13.96
1.86,-14.35
1.87,-14.77
1.70,-14.42
2.04,-15.11
2.30,-15.44
2.14,-15.81
2.42,-16.09
2.82,-15.97
2.89,-16.35
2.80,-16.72
2.67,-17.11
2.37,-16.88
2.56,-17.26
2.81,-17.45
2.69,-17.85
2.73,-18.26
2.83,-18.67
3.11,-18.91
3.29,-19.24
3.55,-19.56
3.24,-19.78
3.36,-20.15
3.09,-20.50
2.94,-20.17
2.98,-20.55
3.27,-20.84
3.36,-21.23
3.73,-21.11
4.02,-21.42
4.36,-21.54
4.65,-21.25
5.00,-21.41
4.71,-22.17
4.91,-22.53
4.71,-22.88
5.08,-22.84
5.40,-22.69
6.48,-22.56
5.59,-22.80
7.03,-23.61
7.30,-22.45
8.05,-22.81
7.34,-22.41
6.76,-23.00
6.53,-22.69
7.16,-23.19
6.96,-22.86
6.74,-22.55
7.02,-22.69
6.80,-22.38
7.76,-23.04
7.42,-22.82
8.16,-23.01
8.06,-22.65
8.25,-22.99
8.58,-22.79
8.29,-22.58
7.94,-22.42
7.73,-22.10
7.55,-21.79
8.01,-21.13
7.62,-21.05
7.37,-20.75
8.11,-20.48
7.84,-20.24
8.22,-20.39
8.56,-20.51
8.68,-20.16
9.00,-19.97
8.76,-19.68
8.49,-19.42
8.70,-19.73
8.97,-20.05
9.70,-20.29
9.46,-20.01
9.07,-20.01
9.65,-19.46
9.30,-18.76
9.63,-18.95
9.24,-18.93
8.93,-18.74
9.29,-18.89
